id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,rate_multiplier
18_20_tips,6.0,0.1764705882352941,0.1393755369999999,0.0411673870742575,20,,Phyloformer,0.25
16_20_tips,6.0,0.1764705882352941,0.182902208,0.079493792411952,20,,Phyloformer,0.25
6_20_tips,2.0,0.0588235294117647,0.13831245,0.0477657306335085,20,,Phyloformer,0.25
15_20_tips,4.0,0.1176470588235294,0.185185225,0.0598292136540597,20,,Phyloformer,0.25
4_20_tips,2.0,0.0588235294117647,0.40277774,0.1190432246190517,20,,Phyloformer,0.25
9_20_tips,0.0,0.0,0.12034159,0.0348442288518184,20,,Phyloformer,0.25
17_20_tips,14.0,0.4117647058823529,0.227599225,0.0819745460170157,20,,Phyloformer,0.25
1_20_tips,0.0,0.0,0.85398358,0.3757778153455754,20,,Phyloformer,0.25
12_20_tips,12.0,0.3529411764705882,0.168861285,0.0750681522453235,20,,Phyloformer,0.25
2_20_tips,2.0,0.0588235294117647,0.5349952,0.1834683689776485,20,,Phyloformer,0.25
13_20_tips,2.0,0.0588235294117647,0.17535709,0.0586166762376979,20,,Phyloformer,0.25
14_20_tips,4.0,0.1176470588235294,0.070591331,0.0219398409718355,20,,Phyloformer,0.25
3_20_tips,0.0,0.0,0.2902986,0.0936769039116814,20,,Phyloformer,0.25
7_20_tips,0.0,0.0,1.04784782,0.3649472829966022,20,,Phyloformer,0.25
0_20_tips,4.0,0.1176470588235294,0.4785025499999998,0.208712258398995,20,,Phyloformer,0.25
11_20_tips,6.0,0.1764705882352941,0.1912521325,0.0756930327931467,20,,Phyloformer,0.25
19_20_tips,2.0,0.0588235294117647,0.1373877331,0.0566621755064038,20,,IQ-TREE,0.25
8_20_tips,0.0,0.0,0.7222098838000001,0.3504084457266657,20,,IQ-TREE,0.25
18_20_tips,6.0,0.1764705882352941,0.1509086439999999,0.0590492846308795,20,,IQ-TREE,0.25
5_20_tips,12.0,0.3529411764705882,0.0756546566,0.0260006214359353,20,,IQ-TREE,0.25
16_20_tips,2.0,0.0588235294117647,0.134077942,0.0650964000866027,20,,IQ-TREE,0.25
10_20_tips,10.0,0.2941176470588235,0.459441035,0.1489669065388458,20,,IQ-TREE,0.25
9_20_tips,0.0,0.0,0.1320782224999999,0.0393595892351219,20,,IQ-TREE,0.25
6_20_tips,2.0,0.0588235294117647,0.1285810827,0.0408037314413432,20,,IQ-TREE,0.25
17_20_tips,4.0,0.1176470588235294,0.279334239,0.1621646860758322,20,,IQ-TREE,0.25
15_20_tips,8.0,0.2352941176470588,0.1956382995999999,0.0749766245781978,20,,IQ-TREE,0.25
2_20_tips,2.0,0.0588235294117647,0.5569805327999999,0.2004122512103145,20,,IQ-TREE,0.25
4_20_tips,4.0,0.1176470588235294,0.4955346149999999,0.1454546623048513,20,,IQ-TREE,0.25
13_20_tips,0.0,0.0,0.163837308,0.0577384746739942,20,,IQ-TREE,0.25
1_20_tips,2.0,0.0588235294117647,0.9330000136,0.353342614113301,20,,IQ-TREE,0.25
14_20_tips,6.0,0.1764705882352941,0.0681445505999999,0.0210250236162296,20,,IQ-TREE,0.25
12_20_tips,14.0,0.4117647058823529,0.0976665537,0.0390018160687569,20,,IQ-TREE,0.25
0_20_tips,4.0,0.1176470588235294,0.6590249410000003,0.4099308272182468,20,,IQ-TREE,0.25
3_20_tips,0.0,0.0,0.4886679956,0.177683841888356,20,,IQ-TREE,0.25
11_20_tips,6.0,0.1764705882352941,0.1320651708999999,0.0380263979542274,20,,IQ-TREE,0.25
7_20_tips,2.0,0.0588235294117647,1.8113481419999995,0.7397797274713298,20,,IQ-TREE,0.25
8_20_tips,0.0,0.0,0.99827703,0.4449423888710577,20,,FastME,0.25
19_20_tips,2.0,0.0588235294117647,0.14255653,0.0724880069244761,20,,FastME,0.25
5_20_tips,30.0,1.0,0.298637469,0.0798546610924365,20,,FastME,0.25
18_20_tips,10.0,0.2941176470588235,0.181564803,0.0824595208002098,20,,FastME,0.25
10_20_tips,4.0,0.1176470588235294,0.62478878,0.2208598342713768,20,,FastME,0.25
16_20_tips,6.0,0.1764705882352941,0.1496231079999999,0.0697622741509533,20,,FastME,0.25
9_20_tips,0.0,0.0,0.1206616199999999,0.0394639767404426,20,,FastME,0.25
6_20_tips,2.0,0.0588235294117647,0.1143601599999999,0.035638897319269,20,,FastME,0.25
17_20_tips,6.0,0.1764705882352941,0.3787967049999999,0.1959974959056865,20,,FastME,0.25
2_20_tips,2.0,0.0588235294117647,0.7060485999999999,0.2479186486686872,20,,FastME,0.25
15_20_tips,33.0,1.0,1.2061315149999998,0.3542604278417079,20,,FastME,0.25
13_20_tips,2.0,0.0588235294117647,0.14498391,0.0484076404564558,20,,FastME,0.25
4_20_tips,4.0,0.1176470588235294,0.6944339399999999,0.2140416072870585,20,,FastME,0.25
14_20_tips,33.0,1.0,0.3614719249999999,0.0846774713420268,20,,FastME,0.25
1_20_tips,0.0,0.0,1.16461975,0.4846688767278018,20,,FastME,0.25
0_20_tips,33.0,1.0,3.36122288,1.2474838318307768,20,,FastME,0.25
12_20_tips,32.0,1.0,0.7839353849999999,0.2581192910318104,20,,FastME,0.25
11_20_tips,4.0,0.1176470588235294,0.1730467325,0.0604897985293023,20,,FastME,0.25
3_20_tips,0.0,0.0,0.7057819199999998,0.2509539346186507,20,,FastME,0.25
7_20_tips,2.0,0.0588235294117647,2.0591753299999995,0.8119273392959575,20,,FastME,0.25
2_50_tips,28.0,0.2978723404255319,0.367269154,0.074562895090888,50,,Phyloformer,0.25
10_50_tips,24.0,0.2553191489361702,0.1853845464999999,0.037427284375462,50,,Phyloformer,0.25
15_50_tips,28.0,0.2978723404255319,0.1552984543,0.029844897584938,50,,Phyloformer,0.25
17_50_tips,6.0,0.0638297872340425,0.457253708,0.0875230951218098,50,,Phyloformer,0.25
9_50_tips,30.0,0.3191489361702128,0.1812462149999999,0.0326613500696561,50,,Phyloformer,0.25
11_50_tips,0.0,0.0,0.8264519500000003,0.16557974783008,50,,Phyloformer,0.25
0_50_tips,2.0,0.0212765957446808,0.3081806057999999,0.0623739579742235,50,,Phyloformer,0.25
1_50_tips,14.0,0.1489361702127659,0.3030137039999999,0.0586520318709266,50,,Phyloformer,0.25
14_50_tips,24.0,0.2553191489361702,0.3966936439999998,0.0971436989011624,50,,Phyloformer,0.25
6_50_tips,16.0,0.1702127659574468,0.5276550407999998,0.1029286301766058,50,,Phyloformer,0.25
18_50_tips,6.0,0.0638297872340425,1.1246486157000002,0.2653426717799206,50,,Phyloformer,0.25
5_50_tips,17.0,0.1789473684210526,0.3210971487,0.1030997821881307,50,,Phyloformer,0.25
3_50_tips,82.0,0.8723404255319149,0.0307639821999999,0.0063420909041061,50,,Phyloformer,0.25
4_50_tips,8.0,0.0851063829787234,0.340479243,0.0625676991330561,50,,Phyloformer,0.25
7_50_tips,20.0,0.2127659574468085,0.358356032,0.0705228484484033,50,,Phyloformer,0.25
13_50_tips,8.0,0.0851063829787234,0.267355476,0.0511790752861029,50,,Phyloformer,0.25
12_50_tips,40.0,0.425531914893617,0.094749229,0.0180296991449249,50,,Phyloformer,0.25
19_50_tips,12.0,0.1276595744680851,1.1596587250000003,0.2614522180954172,50,,Phyloformer,0.25
8_50_tips,34.0,0.3617021276595745,0.293229248248,0.0646092768559026,50,,Phyloformer,0.25
16_50_tips,42.0,0.4468085106382978,0.166812633,0.0342237754169282,50,,Phyloformer,0.25
2_50_tips,28.0,0.2978723404255319,0.3943322080999997,0.0914000813855467,50,,IQ-TREE,0.25
10_50_tips,30.0,0.3191489361702128,0.1909734508999999,0.0387081680664282,50,,IQ-TREE,0.25
15_50_tips,28.0,0.2978723404255319,0.1545881916,0.0298015432059875,50,,IQ-TREE,0.25
17_50_tips,6.0,0.0638297872340425,0.5090694178,0.1069904640503092,50,,IQ-TREE,0.25
9_50_tips,38.0,0.4042553191489361,0.2068980579999999,0.0377075949774454,50,,IQ-TREE,0.25
11_50_tips,4.0,0.0425531914893617,1.1824757647000002,0.2738198426054439,50,,IQ-TREE,0.25
1_50_tips,14.0,0.1489361702127659,0.3284198833999999,0.076891487161098,50,,IQ-TREE,0.25
0_50_tips,8.0,0.0851063829787234,0.2812576685999998,0.0563748846668038,50,,IQ-TREE,0.25
6_50_tips,12.0,0.1276595744680851,0.57456623,0.1269404927998419,50,,IQ-TREE,0.25
14_50_tips,16.0,0.1702127659574468,0.3790904917999999,0.1157926520226987,50,,IQ-TREE,0.25
5_50_tips,23.0,0.2421052631578947,0.3471821513999996,0.1054901425014437,50,,IQ-TREE,0.25
18_50_tips,4.0,0.0425531914893617,1.4309361811999997,0.3592747615659099,50,,IQ-TREE,0.25
4_50_tips,10.0,0.1063829787234042,0.361199879,0.0673114567264339,50,,IQ-TREE,0.25
3_50_tips,84.0,0.8936170212765957,0.0280338643,0.0074134017179773,50,,IQ-TREE,0.25
13_50_tips,12.0,0.1276595744680851,0.2835554552999999,0.053816228097868,50,,IQ-TREE,0.25
7_50_tips,16.0,0.1702127659574468,0.3521691291999997,0.0716544905482759,50,,IQ-TREE,0.25
19_50_tips,4.0,0.0425531914893617,1.1015175448,0.3433435148849137,50,,IQ-TREE,0.25
12_50_tips,56.0,0.5957446808510638,0.0927720005,0.0215911563976619,50,,IQ-TREE,0.25
16_50_tips,30.0,0.3191489361702128,0.1220966158,0.0281239168660892,50,,IQ-TREE,0.25
8_50_tips,40.0,0.425531914893617,0.2542450786479997,0.0614096419420552,50,,IQ-TREE,0.25
2_50_tips,93.0,1.0,2.327441443999999,0.4194312263279427,50,,FastME,0.25
10_50_tips,90.0,1.0,0.8787994554999998,0.1445931118110682,50,,FastME,0.25
17_50_tips,8.0,0.0851063829787234,0.5673196579999997,0.1292910076139964,50,,FastME,0.25
15_50_tips,92.0,1.0,0.5197876063000001,0.0783697401343421,50,,FastME,0.25
11_50_tips,6.0,0.0638297872340425,1.4854923000000002,0.3477775905172844,50,,FastME,0.25
9_50_tips,92.0,1.0,0.8590925849999996,0.1664629137999594,50,,FastME,0.25
0_50_tips,12.0,0.1276595744680851,0.4000148442,0.0829624401003803,50,,FastME,0.25
1_50_tips,92.0,1.0,2.571223936000001,0.4872151460975601,50,,FastME,0.25
14_50_tips,20.0,0.2127659574468085,0.5436958279999998,0.1553854226347393,50,,FastME,0.25
6_50_tips,16.0,0.1702127659574468,0.7267332208,0.1692132613059747,50,,FastME,0.25
18_50_tips,8.0,0.0851063829787234,1.9556654157000004,0.4700911868459464,50,,FastME,0.25
5_50_tips,92.0,1.0,1.1975689827,0.1967670571827889,50,,FastME,0.25
3_50_tips,68.0,1.0,0.0328090662,0.008445507570625,50,,FastME,0.25
4_50_tips,14.0,0.1489361702127659,0.343457883,0.0600978783664326,50,,FastME,0.25
7_50_tips,24.0,0.2553191489361702,0.424934738,0.0854084564564813,50,,FastME,0.25
13_50_tips,92.0,1.0,2.0846060959999995,0.3570985730890931,50,,FastME,0.25
12_50_tips,83.0,1.0,0.195258361,0.0388121580349999,50,,FastME,0.25
19_50_tips,16.0,0.1702127659574468,1.735380615,0.4592579574066555,50,,FastME,0.25
8_50_tips,91.0,1.0,1.2575126542479995,0.2518050425164496,50,,FastME,0.25
16_50_tips,42.0,0.4468085106382978,0.145765181,0.035237446978771,50,,FastME,0.25
6_100_tips,72.0,0.3711340206185567,0.2881410253000002,0.0391364165466215,100,,Phyloformer,0.25
17_100_tips,54.0,0.2783505154639175,0.330366266,0.0500907026568369,100,,Phyloformer,0.25
8_100_tips,28.0,0.1443298969072164,1.4037888000000005,0.2018262281184382,100,,Phyloformer,0.25
16_100_tips,172.0,0.8865979381443299,0.0621800076537999,0.0095449656480366,100,,Phyloformer,0.25
14_100_tips,44.0,0.2268041237113402,0.6840496502549995,0.1095129226443674,100,,Phyloformer,0.25
18_100_tips,52.0,0.268041237113402,0.3459491481,0.0571824746207316,100,,Phyloformer,0.25
11_100_tips,78.0,0.4020618556701031,0.3888114485,0.0575918719838327,100,,Phyloformer,0.25
3_100_tips,30.0,0.1546391752577319,1.4126236572999988,0.2273023070237726,100,,Phyloformer,0.25
4_100_tips,88.0,0.4536082474226804,0.2039357886,0.027666488939223,100,,Phyloformer,0.25
2_100_tips,24.0,0.1237113402061855,0.9048831850000004,0.1575601254722137,100,,Phyloformer,0.25
5_100_tips,184.0,0.9484536082474226,0.033633917,0.0054538361100052,100,,Phyloformer,0.25
9_100_tips,50.0,0.2577319587628865,0.3486178004999998,0.0549608949922755,100,,Phyloformer,0.25
19_100_tips,28.0,0.1443298969072164,1.5212482009999992,0.2235587050993435,100,,Phyloformer,0.25
0_100_tips,16.0,0.0824742268041237,2.0201021550000005,0.3325132797660347,100,,Phyloformer,0.25
1_100_tips,46.0,0.2371134020618556,1.0109037847999989,0.1647578390050989,100,,Phyloformer,0.25
12_100_tips,30.0,0.1546391752577319,0.6730136119999999,0.0952403926709741,100,,Phyloformer,0.25
13_100_tips,76.0,0.3917525773195876,0.3178009908999999,0.0456127578066675,100,,Phyloformer,0.25
10_100_tips,24.0,0.1237113402061855,0.5453176145999998,0.0793435707182792,100,,Phyloformer,0.25
7_100_tips,56.0,0.2886597938144329,0.4266781442999998,0.0638326322491307,100,,Phyloformer,0.25
15_100_tips,162.0,0.8350515463917526,0.1127269724779999,0.0223241738980466,100,,Phyloformer,0.25
17_100_tips,64.0,0.3298969072164948,0.3147894433999994,0.0470823345351904,100,,IQ-TREE,0.25
6_100_tips,82.0,0.422680412371134,0.262990096299999,0.0376035038575231,100,,IQ-TREE,0.25
8_100_tips,20.0,0.1030927835051546,1.6803564835999996,0.2664100428797576,100,,IQ-TREE,0.25
16_100_tips,178.0,0.9175257731958762,0.0583839861538,0.0109393492410666,100,,IQ-TREE,0.25
14_100_tips,50.0,0.2577319587628865,0.6514181006550003,0.1111326047741708,100,,IQ-TREE,0.25
18_100_tips,68.0,0.3505154639175257,0.3330212099999991,0.0589457998108137,100,,IQ-TREE,0.25
11_100_tips,66.0,0.3402061855670103,0.3582922229999993,0.0581511930855426,100,,IQ-TREE,0.25
3_100_tips,28.0,0.1443298969072164,1.6385487346999996,0.3092184176908527,100,,IQ-TREE,0.25
4_100_tips,86.0,0.4432989690721649,0.208592568,0.02994774551414,100,,IQ-TREE,0.25
5_100_tips,184.0,0.9484536082474226,0.0349225379,0.0077431886439001,100,,IQ-TREE,0.25
2_100_tips,36.0,0.1855670103092783,1.5888629362999995,0.4886058314265794,100,,IQ-TREE,0.25
9_100_tips,82.0,0.422680412371134,0.3550044852999989,0.051134845570259,100,,IQ-TREE,0.25
19_100_tips,18.0,0.0927835051546391,1.477098498999999,0.2502671479197157,100,,IQ-TREE,0.25
1_100_tips,36.0,0.1855670103092783,1.1753310014,0.252579683963289,100,,IQ-TREE,0.25
0_100_tips,12.0,0.0618556701030927,2.587138774199999,0.5072573178965596,100,,IQ-TREE,0.25
13_100_tips,80.0,0.4123711340206185,0.309890742599999,0.0480281897781445,100,,IQ-TREE,0.25
12_100_tips,30.0,0.1546391752577319,0.7516473006000001,0.1043013967158437,100,,IQ-TREE,0.25
10_100_tips,34.0,0.1752577319587628,0.5648157826000005,0.0895680496517529,100,,IQ-TREE,0.25
7_100_tips,66.0,0.3402061855670103,0.4459101844999996,0.0665757643999067,100,,IQ-TREE,0.25
15_100_tips,164.0,0.845360824742268,0.124389517378,0.0289598358928322,100,,IQ-TREE,0.25
6_100_tips,183.0,1.0,0.9934928673,0.1319430178551129,100,,FastME,0.25
17_100_tips,190.0,1.0,1.277719716000001,0.1448105696024384,100,,FastME,0.25
16_100_tips,135.0,1.0,0.0725446306538,0.0126230620005603,100,,FastME,0.25
8_100_tips,32.0,0.1649484536082474,2.24106229,0.3586221684915898,100,,FastME,0.25
18_100_tips,188.0,1.0,1.5914058477000006,0.2085178948474166,100,,FastME,0.25
14_100_tips,189.0,1.0,4.346982994254998,0.5800084570690553,100,,FastME,0.25
3_100_tips,38.0,0.1958762886597938,2.3086568973,0.4245526270374974,100,,FastME,0.25
11_100_tips,186.0,1.0,1.9443994745000008,0.2635532323235779,100,,FastME,0.25
5_100_tips,137.0,1.0,0.044067693,0.0078496514605603,100,,FastME,0.25
4_100_tips,189.0,1.0,0.6523625726000001,0.0791414044680905,100,,FastME,0.25
9_100_tips,185.0,1.0,1.2805613825000002,0.1555574327789511,100,,FastME,0.25
2_100_tips,18.0,0.0927835051546391,1.849331791,0.5992209809364759,100,,FastME,0.25
1_100_tips,192.0,1.0,6.716847844799998,0.9848355047202796,100,,FastME,0.25
19_100_tips,193.0,1.0,10.961739220999988,1.2980598328264383,100,,FastME,0.25
13_100_tips,186.0,1.0,1.3886285948999997,0.213407495031635,100,,FastME,0.25
10_100_tips,188.0,1.0,3.3992151566,0.4343693409164144,100,,FastME,0.25
0_100_tips,18.0,0.0927835051546391,3.473374465,0.6148922310039446,100,,FastME,0.25
15_100_tips,148.0,1.0,0.396300033078,0.091239387986249,100,,FastME,0.25
12_100_tips,193.0,1.0,4.643842991999998,0.5570228068687731,100,,FastME,0.25
7_100_tips,186.0,1.0,1.6169216383000005,0.2053834020624926,100,,FastME,0.25
2_200_tips,84.0,0.2131979695431472,1.6326297160000007,0.1742024594945692,200,,Phyloformer,0.25
12_200_tips,78.0,0.1979695431472081,1.31137380862,0.1470562464279831,200,,Phyloformer,0.25
10_200_tips,78.0,0.1979695431472081,2.165410529900001,0.2774868897030023,200,,Phyloformer,0.25
17_200_tips,84.0,0.2131979695431472,1.8922535488,0.202416757849096,200,,Phyloformer,0.25
4_200_tips,104.0,0.2639593908629442,1.4977033549500012,0.1904036974276441,200,,Phyloformer,0.25
5_200_tips,224.0,0.5685279187817259,0.4944091910800002,0.0601814328897262,200,,Phyloformer,0.25
1_200_tips,78.0,0.1979695431472081,1.9177265573,0.2390241224575225,200,,Phyloformer,0.25
9_200_tips,336.0,0.8527918781725888,0.10007734034,0.0120296478007718,200,,Phyloformer,0.25
13_200_tips,282.0,0.7157360406091371,0.1851880206429998,0.0217942927764251,200,,Phyloformer,0.25
18_200_tips,156.0,0.3959390862944162,0.7520262641000002,0.0935671223248402,200,,Phyloformer,0.25
3_200_tips,118.0,0.299492385786802,1.9440329849999989,0.2372207866350416,200,,Phyloformer,0.25
15_200_tips,224.0,0.5685279187817259,0.2639834600000001,0.0301947011249455,200,,Phyloformer,0.25
6_200_tips,106.0,0.2690355329949238,1.1120758788881997,0.1124441907356122,200,,Phyloformer,0.25
7_200_tips,114.0,0.2893401015228426,1.3043179532003002,0.1787129842381215,200,,Phyloformer,0.25
0_200_tips,338.0,0.8578680203045685,0.121736669864,0.0130051976277787,200,,Phyloformer,0.25
14_200_tips,130.0,0.3299492385786802,0.7979787088129999,0.0922793121247384,200,,Phyloformer,0.25
19_200_tips,242.0,0.6142131979695431,0.330830648415,0.037767072761305,200,,Phyloformer,0.25
11_200_tips,126.0,0.3197969543147208,0.93733237555,0.1139981523565686,200,,Phyloformer,0.25
8_200_tips,264.0,0.6700507614213198,0.4429434950719998,0.0846585634453087,200,,Phyloformer,0.25
16_200_tips,146.0,0.3705583756345177,0.7197265783579996,0.0837881233896709,200,,Phyloformer,0.25
2_200_tips,72.0,0.182741116751269,1.5201726668999984,0.173232809720181,200,,IQ-TREE,0.25
12_200_tips,68.0,0.1725888324873096,1.318651775219998,0.1435320034725127,200,,IQ-TREE,0.25
17_200_tips,392.0,1.0,12.07832547049997,1.0733095593219084,200,,IQ-TREE,0.25
10_200_tips,86.0,0.2182741116751269,2.1999045408000044,0.3076495783552797,200,,IQ-TREE,0.25
4_200_tips,102.0,0.2588832487309644,1.4484070240499969,0.1980491432958607,200,,IQ-TREE,0.25
5_200_tips,236.0,0.5989847715736041,0.4750334187799985,0.0578281791047585,200,,IQ-TREE,0.25
1_200_tips,80.0,0.2030456852791878,1.7434233148999998,0.1951143680711373,200,,IQ-TREE,0.25
13_200_tips,308.0,0.7817258883248731,0.2105767534429998,0.0276839819117636,200,,IQ-TREE,0.25
9_200_tips,354.0,0.8984771573604061,0.09798694294,0.0147644822225788,200,,IQ-TREE,0.25
3_200_tips,120.0,0.3045685279187817,2.290835530200004,0.33758801263676,200,,IQ-TREE,0.25
18_200_tips,180.0,0.4568527918781725,0.7950506264000013,0.1201210704861745,200,,IQ-TREE,0.25
6_200_tips,114.0,0.2893401015228426,1.0366793872881976,0.1089907251194046,200,,IQ-TREE,0.25
15_200_tips,264.0,0.6700507614213198,0.2764719426999976,0.0317799600244572,200,,IQ-TREE,0.25
7_200_tips,132.0,0.3350253807106599,1.2873001647002964,0.1942352841350918,200,,IQ-TREE,0.25
0_200_tips,356.0,0.9035532994923858,0.124708261264,0.0160306618018595,200,,IQ-TREE,0.25
14_200_tips,152.0,0.3857868020304568,0.7597284391130018,0.0891019427279927,200,,IQ-TREE,0.25
19_200_tips,252.0,0.6395939086294417,0.3233891238149983,0.0366829413188275,200,,IQ-TREE,0.25
11_200_tips,142.0,0.3604060913705584,0.8173794020500018,0.0935573455299032,200,,IQ-TREE,0.25
8_200_tips,292.0,0.7411167512690355,0.4646195386719994,0.0925592041086003,200,,IQ-TREE,0.25
16_200_tips,164.0,0.416243654822335,0.6694489933580018,0.0787887288448013,200,,IQ-TREE,0.25
2_200_tips,390.0,1.0,8.706220077999998,0.7796619091782766,200,,FastME,0.25
12_200_tips,392.0,1.0,7.55728655462,0.6764754321419852,200,,FastME,0.25
10_200_tips,389.0,1.0,14.967273425900013,1.4948027035057134,200,,FastME,0.25
17_200_tips,392.0,1.0,11.3596833588,1.0114521361393385,200,,FastME,0.25
4_200_tips,388.0,1.0,8.603191430950005,0.9460275769600162,200,,FastME,0.25
5_200_tips,330.0,1.0,1.984066871080001,0.2580980962616839,200,,FastME,0.25
